MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id,TimeStamp
00:1B:10:18:33:47,2020-05-05 01:00:00,36.0,0.0,0.0,0.0,34,9353,1588640400000000000
00:1B:10:18:3A:37,2020-05-05 01:00:00,36.470001220703125,28.8422052,41.0584131,25.406,56,10651,1588640400000000000
00:1B:10:18:33:47,2020-05-05 01:10:00,36.0,0.0,0.0,0.0,34,9375,1588641000000000000
00:1B:10:18:4C:36,2020-05-05 01:10:00,36.40999984741211,28.9866546,41.0299626,23.34,20,8960,1588641000000000000
00:1B:10:18:3F:41,2020-05-05 01:10:00,36.369998931884766,28.8496768,41.0068712,23.531,50,8962,1588641000000000000
00:1B:10:18:2D:73,2020-05-05 01:10:00,36.40999984741211,28.9175791,41.0847067,78.102,49,8974,1588641000000000000
00:1B:10:18:48:89,2020-05-05 01:10:00,36.38999938964844,28.8425621,41.0589022,22.637,57,10661,1588641000000000000
00:1B:10:18:3A:37,2020-05-05 01:10:00,36.47999954223633,28.842686,41.058159,14.184,56,10673,1588641000000000000
00:1B:10:18:1D:0C,2020-05-05 01:10:00,35.84000015258789,28.7617875,41.0472972,15.364,24,10687,1588641000000000000
00:1B:10:18:2D:73,2020-05-05 01:20:00,36.43000030517578,28.9175791,41.0847067,78.102,49,8996,1588641600000000000
00:1B:10:18:45:49,2020-05-05 01:20:00,36.40999984741211,28.7592113,41.0485006,17.813,71,8973,1588641600000000000
00:1B:10:18:3C:CC,2020-05-05 01:20:00,26.739999771118164,28.8425621,41.0580729,36.571,54,10688,1588641600000000000
00:1B:10:18:4C:36,2020-05-05 01:20:00,36.34000015258789,28.9867099,41.029938,38.471,20,8982,1588641600000000000
00:1B:10:18:3F:41,2020-05-05 01:20:00,36.38999938964844,28.8497113,41.006812,21.874,50,8984,1588641600000000000
00:1B:10:18:1D:0C,2020-05-05 01:20:00,36.470001220703125,28.7617951,41.0472955,13.161,24,8985,1588641600000000000
00:1B:10:18:35:6C,2020-05-05 01:20:00,26.899999618530273,28.9000074,41.0258696,14.795,30,8990,1588641600000000000
00:1B:10:18:3A:37,2020-05-05 01:20:00,36.58000183105469,28.8427016,41.0580847,21.68,56,10694,1588641600000000000
00:1B:10:18:48:89,2020-05-05 01:20:00,36.369998931884766,28.8425244,41.0589283,15.577,57,10681,1588641600000000000
00:1B:10:18:50:2F,2020-05-05 01:20:00,36.439998626708984,28.8223685,41.0539408,7.685,26,10676,1588641600000000000
00:1B:10:18:33:47,2020-05-05 01:20:00,36.0,0.0,0.0,0.0,34,9399,1588641600000000000
00:1B:10:18:2E:3C,2020-05-05 01:20:00,36.45000076293945,28.8469083,41.039991,23.584,59,8987,1588641600000000000
00:1B:10:18:33:47,2020-05-05 01:30:00,36.0,0.0,0.0,0.0,34,9423,1588642200000000000
00:1B:10:18:50:2F,2020-05-05 01:30:00,36.439998626708984,28.8222899,41.0536836,14.744,26,10698,1588642200000000000
00:1B:10:18:3C:CC,2020-05-05 01:30:00,26.360000610351562,28.8424842,41.0580841,12.844,54,10710,1588642200000000000
00:1B:10:18:1D:0C,2020-05-05 01:30:00,35.91999816894531,28.7617906,41.0472988,17.819,24,10708,1588642200000000000
00:1B:10:18:3A:37,2020-05-05 01:30:00,36.4900016784668,28.8427937,41.0588316,21.836,56,10717,1588642200000000000
00:1B:10:18:45:49,2020-05-05 01:30:00,36.459999084472656,28.7592113,41.0485006,17.813,71,8995,1588642200000000000
00:1B:10:18:4C:36,2020-05-05 01:30:00,36.29999923706055,28.986641,41.0298243,17.414,20,9006,1588642200000000000
00:1B:10:18:3F:41,2020-05-05 01:30:00,36.380001068115234,28.8496938,41.0067978,24.352,50,9008,1588642200000000000
00:1B:10:18:35:6C,2020-05-05 01:30:00,26.899999618530273,28.8999613,41.0259256,24.331,30,9013,1588642200000000000
00:1B:10:18:2D:73,2020-05-05 01:30:00,36.439998626708984,28.9175791,41.0847067,78.102,49,9019,1588642200000000000
00:1B:10:18:48:89,2020-05-05 01:30:00,36.400001525878906,28.8425336,41.0589329,24.083,57,10703,1588642200000000000
00:1B:10:18:3C:CC,2020-05-05 01:40:00,27.6200008392334,28.8424175,41.0582708,11.263,54,10731,1588642800000000000
00:1B:10:18:50:2F,2020-05-05 01:40:00,36.439998626708984,28.8223638,41.0533343,13.036,26,10720,1588642800000000000
00:1B:10:18:33:47,2020-05-05 01:40:00,36.0,0.0,0.0,0.0,34,9447,1588642800000000000
00:1B:10:18:3A:37,2020-05-05 01:40:00,36.45000076293945,28.8427006,41.0586986,20.913,56,10738,1588642800000000000
00:1B:10:18:41:6E,2020-05-05 01:40:00,36.349998474121094,28.822156,41.0538538,16.135,73,10732,1588642800000000000
00:1B:10:18:1D:0C,2020-05-05 01:40:00,35.810001373291016,28.7617936,41.0472984,16.698,24,10773,1588642800000000000
00:1B:10:18:2D:73,2020-05-05 01:40:00,36.45000076293945,28.9175791,41.0847067,78.102,49,9040,1588642800000000000
00:1B:10:18:3F:41,2020-05-05 01:40:00,36.400001525878906,28.8496981,41.0068312,20.268,50,9030,1588642800000000000
00:1B:10:18:35:6C,2020-05-05 01:40:00,26.899999618530273,28.899964,41.0258835,12.355,30,9034,1588642800000000000
00:1B:10:18:4C:36,2020-05-05 01:40:00,35.97999954223633,28.98665,41.0298821,26.002,20,9028,1588642800000000000
00:1B:10:18:2E:3C,2020-05-05 01:40:00,36.43000030517578,28.8466512,41.0400561,16.08,59,9074,1588642800000000000
00:1B:10:18:45:49,2020-05-05 01:40:00,36.439998626708984,28.7592113,41.0485006,17.813,71,9018,1588642800000000000
00:1B:10:18:35:6C,2020-05-05 01:50:00,26.899999618530273,28.8999061,41.0258611,25.972,30,9056,1588643400000000000
00:1B:10:18:1D:0C,2020-05-05 01:50:00,35.849998474121094,28.7617907,41.047295,16.887,24,9052,1588643400000000000
00:1B:10:18:3F:41,2020-05-05 01:50:00,36.40999984741211,28.8496883,41.0068177,20.941,50,9051,1588643400000000000
00:1B:10:18:3A:37,2020-05-05 01:50:00,36.439998626708984,28.8428351,41.0584089,16.982,56,10760,1588643400000000000
00:1B:10:18:41:6E,2020-05-05 01:50:00,36.33000183105469,28.8221461,41.0538529,17.857,73,10754,1588643400000000000
00:1B:10:18:3C:CC,2020-05-05 01:50:00,26.899999618530273,28.8425808,41.0584154,35.834,54,10753,1588643400000000000
00:1B:10:18:2E:3C,2020-05-05 01:50:00,36.810001373291016,28.8435377,41.058562,73.968,59,11229,1588643400000000000
00:1B:10:18:48:89,2020-05-05 01:50:00,36.40999984741211,28.8425334,41.0589388,22.281,57,10746,1588643400000000000
00:1B:10:18:50:2F,2020-05-05 01:50:00,36.41999816894531,28.8224687,41.0532331,16.037,26,10741,1588643400000000000
00:1B:10:18:45:49,2020-05-05 01:50:00,36.36000061035156,28.7592113,41.0485006,17.813,71,9039,1588643400000000000
00:1B:10:18:4C:36,2020-05-05 01:50:00,36.31999969482422,28.98673,41.0297875,20.257,20,9049,1588643400000000000
00:1B:10:18:33:47,2020-05-05 01:50:00,36.0,0.0,0.0,0.0,34,9472,1588643400000000000
00:1B:10:18:2D:73,2020-05-05 01:50:00,36.45000076293945,28.9175791,41.0847067,78.102,49,9061,1588643400000000000
00:1B:10:18:48:89,2020-05-05 02:00:00,36.43000030517578,28.8425169,41.0589291,20.652,57,10767,1588644000000000000
00:1B:10:18:1D:0C,2020-05-05 02:00:00,35.81999969482422,28.7617973,41.0472948,14.755,24,9072,1588644000000000000
00:1B:10:18:3C:CC,2020-05-05 02:00:00,27.299999237060547,28.8425394,41.0584446,18.53,54,10774,1588644000000000000
00:1B:10:18:50:2F,2020-05-05 02:00:00,36.45000076293945,28.8227461,41.0536822,9.795,26,10763,1588644000000000000
00:1B:10:18:3F:41,2020-05-05 02:00:00,36.369998931884766,28.8496958,41.0068282,20.519,50,9071,1588644000000000000
