,MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
299,00:1B:10:18:45:9B,2020-05-01 15:00:57.643,35.0,28.8228297,41.0529951,58.348,27,403
301,00:1B:10:18:45:9B,2020-05-01 15:01:57.630,35.0,28.8222918,41.0537029,50.471,27,405
303,00:1B:10:18:45:9B,2020-05-01 15:02:57.640,35.0,28.8222918,41.0537029,50.471,27,407
305,00:1B:10:18:45:9B,2020-05-01 15:03:57.640,35.0,28.8227193,41.0538865,85.342,27,409
307,00:1B:10:18:45:9B,2020-05-01 15:04:57.637,35.0,28.8227193,41.0538865,85.342,27,411
309,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,413
311,00:1B:10:18:45:9B,2020-05-01 15:05:57.633,35.0,28.8221916,41.0531676,30.437,27,415
313,00:1B:10:18:1D:0C,2020-05-01 15:04:58.523,36.0,28.761785,41.0472999,13.729,24,417
314,00:1B:10:18:45:9B,2020-05-01 15:06:57.633,35.0,28.8221916,41.0531676,30.437,27,418
326,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,430
328,00:1B:10:18:1D:0C,2020-05-01 15:16:08.153,35.0,28.7617939,41.0473056,13.637,24,432
331,00:1B:10:18:30:29,2020-05-01 15:19:44.437,35.0,29.045872,41.1312574,15.404,28,435
333,00:1B:10:18:45:9B,2020-05-01 15:20:57.637,35.0,28.8234042,41.0541147,106.609,27,437
334,00:1B:10:18:45:9B,2020-05-01 15:21:57.637,35.0,28.8234042,41.0541147,106.609,27,438
338,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,442
340,00:1B:10:18:1D:0C,2020-05-01 15:26:08.170,36.0,28.7617836,41.0472937,13.722,24,444
341,00:1B:10:18:45:9B,2020-05-01 15:26:57.637,35.0,28.8221884,41.0538533,11.2,27,445
342,00:1B:10:18:45:9B,2020-05-01 15:27:57.643,35.0,28.8221884,41.0538533,11.2,27,446
